"Nom","Nom_court","Logo","Championnat","Pays"
"Paris SG","PSG","http://upload.wikimedia.org/wikipedia/fr/thumb/2/21/PGS_2013_logo.png/130px-PGS_2013_logo.png","Ligue 1","France"
"AS Monaco FC","ASM","http://upload.wikimedia.org/wikipedia/fr/thumb/9/9c/Logo_AS_Monaco_2013.png/130px-Logo_AS_Monaco_2013.png","Ligue 1","France"
"Lille OSC","LOSC","http://upload.wikimedia.org/wikipedia/fr/thumb/7/70/Logo_LOSC_Lille.svg/langfr-130px-Logo_LOSC_Lille.svg.png","Ligue 1","France"
"AS Saint-Etienne","ASSE","http://upload.wikimedia.org/wikipedia/fr/thumb/2/2c/Logo_AS_Saint-%C3%89tienne.svg/langfr-130px-Logo_AS_Saint-%C3%89tienne.svg.png","Ligue 1","France"
"Olympique Lyonnais","OL","http://upload.wikimedia.org/wikipedia/fr/thumb/e/e2/Olympique_lyonnais_%28logo%29.svg/langfr-130px-Olympique_lyonnais_%28logo%29.svg.png","Ligue 1","France"
"Olympique de Marseille","OM","http://upload.wikimedia.org/wikipedia/fr/thumb/4/43/Logo_Olympique_de_Marseille.svg/langfr-130px-Logo_Olympique_de_Marseille.svg.png","Ligue 1","France"
"Girondins de Bordeaux","GDB","http://upload.wikimedia.org/wikipedia/fr/thumb/7/76/Logo_des_Girondins_de_Bordeaux.svg/langfr-130px-Logo_des_Girondins_de_Bordeaux.svg.png","Ligue 1","France"
"FC Lorient","FCL","http://upload.wikimedia.org/wikipedia/fr/thumb/1/1d/Logo_FC_Lorient_Bretagne-Sud.svg/langfr-130px-Logo_FC_Lorient_Bretagne-Sud.svg.png","Ligue 1","France"
"Toulouse FC","TFC","http://upload.wikimedia.org/wikipedia/fr/thumb/8/8b/Logo_Toulouse_FC.svg/langfr-130px-Logo_Toulouse_FC.svg.png","Ligue 1","France"
"SC Bastia","SCB","http://upload.wikimedia.org/wikipedia/fr/thumb/a/ad/SCB-Logo.png/130px-SCB-Logo.png","Ligue 1","France"
"Stade de Reims","SR","http://upload.wikimedia.org/wikipedia/fr/thumb/0/0e/Stade_Reims_1999.svg/langfr-130px-Stade_Reims_1999.svg.png","Ligue 1","France"
"Stade Rennais","SR","http://upload.wikimedia.org/wikipedia/fr/thumb/e/e9/Logo_Stade_Rennais_FC.svg/langfr-130px-Logo_Stade_Rennais_FC.svg.png","Ligue 1","France"
"FC Nantes","FCN","http://upload.wikimedia.org/wikipedia/fr/thumb/c/ce/Fcna_logo_2008.png/130px-Fcna_logo_2008.png","Ligue 1","France"
"Evian TG FC","ETG","http://upload.wikimedia.org/wikipedia/fr/thumb/3/3d/Logo_Evian_Thonon_Gaillard_FC.svg/langfr-130px-Logo_Evian_Thonon_Gaillard_FC.svg.png","Ligue 1","France"
"Montpellier HSC","MHSC","http://upload.wikimedia.org/wikipedia/fr/f/f5/Logo_MHSC_sp%C3%A9cial_40_ans.jpg","Ligue 1","France"
"EA Guingamp","EAG","http://upload.wikimedia.org/wikipedia/fr/thumb/e/ea/En_avant_guingamp.png/130px-En_avant_guingamp.png","Ligue 1","France"
"OGC Nice","OGCN","http://upload.wikimedia.org/wikipedia/fr/thumb/f/f0/Ogcnice.jpg/130px-Ogcnice.jpg","Ligue 1","France"
"FC Metz","FCM","http://upload.wikimedia.org/wikipedia/fr/thumb/2/20/FC-Metz.svg/langfr-130px-FC-Metz.svg.png","Ligue 1","France"
"RC Lens","RCL","http://upload.wikimedia.org/wikipedia/fr/thumb/8/82/Racing_Club_de_Lens_logo_2014.png/130px-Racing_Club_de_Lens_logo_2014.png","Ligue 1","France"
"SM Caen","SMC","http://upload.wikimedia.org/wikipedia/fr/thumb/7/79/LogoSmc2013.png/130px-LogoSmc2013.png","Ligue 1","France"
"FC Sochaux Montbeliard","FCSM","http://upload.wikimedia.org/wikipedia/fr/thumb/b/b5/Logo_FC_Sochaux-Montb%C3%A9liard.svg/langfr-130px-Logo_FC_Sochaux-Montb%C3%A9liard.svg.png","Ligue 2","France"
"Valenciennes FC","VAFC","http://upload.wikimedia.org/wikipedia/fr/thumb/a/ac/Logo_Valenciennes_FC.svg/langfr-130px-Logo_Valenciennes_FC.svg.png","Ligue 2","France"
"AC Ajaccio","ACA","http://upload.wikimedia.org/wikipedia/fr/thumb/9/94/RDNrcMRQ.jpeg/130px-RDNrcMRQ.jpeg","Ligue 2","France"
"AS Nancy-Lorraine","ASNL","http://upload.wikimedia.org/wikipedia/fr/thumb/6/6b/Logo_AS_Nancy-Lorraine_2013.png/130px-Logo_AS_Nancy-Lorraine_2013.png","Ligue 2","France"
"Chamois Niortais FC","CNFC","http://upload.wikimedia.org/wikipedia/fr/thumb/b/bc/Chamois_niortais_logotype.png/130px-Chamois_niortais_logotype.png","Ligue 2","France"
"Dijon FCO","DFCO","http://upload.wikimedia.org/wikipedia/fr/thumb/c/c9/LogoDFCO.svg/langfr-130px-LogoDFCO.svg.png","Ligue 2","France"
"Stade Brestois 29","SB29","http://upload.wikimedia.org/wikipedia/fr/thumb/1/14/Logo_Stade_Brestois.svg/langfr-130px-Logo_Stade_Brestois.svg.png","Ligue 2","France"
"Tours FC","TFC","http://upload.wikimedia.org/wikipedia/fr/thumb/f/f6/ToursFc_logo.png/130px-ToursFc_logo.png","Ligue 2","France"
"Angers SCO","SCO","http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Logo_AngersSCO.svg/langfr-130px-Logo_AngersSCO.svg.png","Ligue 2","France"
"ES Troyes AC","ESTAC","http://upload.wikimedia.org/wikipedia/fr/thumb/b/bf/ES_Troyes_AC.svg/langfr-130px-ES_Troyes_AC.svg.png","Ligue 2","France"
"US Creteil-Lusitanos","USCL","http://upload.wikimedia.org/wikipedia/fr/thumb/e/e4/Arton4354-200x118.jpg/130px-Arton4354-200x118.jpg","Ligue 2","France"
"Le Havre AC","LHAC","http://upload.wikimedia.org/wikipedia/fr/thumb/2/2b/Logo_HAC_2012.png/130px-Logo_HAC_2012.png","Ligue 2","France"
"AC Arles-Avignon","ACAA","http://upload.wikimedia.org/wikipedia/fr/thumb/a/a2/AC_Arles-Avignon_pro.svg/langfr-130px-AC_Arles-Avignon_pro.svg.png","Ligue 2","France"
"Clermont Foot 63","CF63","http://upload.wikimedia.org/wikipedia/fr/thumb/f/fc/LOGO-CF63-officiel.jpg/130px-LOGO-CF63-officiel.jpg","Ligue 2","France"
"Nimes Olympique","NO","http://upload.wikimedia.org/wikipedia/fr/thumb/6/67/Logo_n%C3%AEmes_olympique.png/130px-Logo_n%C3%AEmes_olympique.png","Ligue 2","France"
"AJ Auxerre","AJA","http://upload.wikimedia.org/wikipedia/fr/thumb/f/fe/Logo_AJ_Auxerre.svg/langfr-130px-Logo_AJ_Auxerre.svg.png","Ligue 2","France"
"Stade Lavallois MFC","SLMFC","http://upload.wikimedia.org/wikipedia/fr/thumb/a/a9/Logo_Stade_Lavallois_Mayenne_FC.svg/langfr-130px-Logo_Stade_Lavallois_Mayenne_FC.svg.png","Ligue 2","France"
"LB Chateauroux","LBC","http://upload.wikimedia.org/wikipedia/fr/thumb/b/b9/LogoLBC.png/130px-LogoLBC.png","Ligue 2","France"
"US Orleans LF","USOLF","http://upload.wikimedia.org/wikipedia/fr/thumb/2/2b/Union_sportive_Orl%C3%A9ans_Loiret_football_2.jpg/130px-Union_sportive_Orl%C3%A9ans_Loiret_football_2.jpg","Ligue 2","France"
"GFC Ajaccio","GCFA","http://upload.wikimedia.org/wikipedia/fr/thumb/8/8f/GFCAjaccioLogotype.png/130px-GFCAjaccioLogotype.png","Ligue 2","France"
