"Nom","Prenom","Poste","Photo","Equipe","Selection","Nationalite","Championnat"
"Gotze","Mario","MOC","http://2015.sofifa.org/15/players/60/192318.png","Bayern Munich","Allemagne","Allemagne","Bundesliga"
"Robben","Arjen","MDR","http://2015.sofifa.org/15/players/60/9014.png","Bayern Munich","Pays-Bas","Pays-Bas","Bundesliga"
"Lewandowski","Robert","BU","http://2015.sofifa.org/15/players/60/188545.png","Bayern Munich","Pologne","Pologne","Bundesliga"
"Muller","Thomas","MDR","http://2015.sofifa.org/15/players/60/189596.png","Bayern Munich","Allemagne","Allemagne","Bundesliga"
"Alaba","David","DG","http://2015.sofifa.org/15/players/60/197445.png","Bayern Munich","Autriche","Autriche","Bundesliga"
"Neuer","Manuel","G","http://2015.sofifa.org/15/players/60/167495.png","Bayern Munich","Allemagne","Allemagne","Bundesliga"
"Thiago","Alcantara","MC","http://2015.sofifa.org/15/players/60/189509.png","Bayern Munich",,"Espagne","Bundesliga"
"Benatia","Medhi","DC","http://2015.sofifa.org/15/players/60/177509.png","Bayern Munich",,"Maroc","Bundesliga"
"Shaqiri","Xherdan","MDR","http://2015.sofifa.org/15/players/60/193348.png","Bayern Munich","Suisse","Suisse","Bundesliga"
"Bernat","Juan","DG","http://2015.sofifa.org/15/players/60/205069.png","Bayern Munich","Espagne","Espagne","Bundesliga"
"Hojbjerg","Pierre-Emile","MC","http://2015.sofifa.org/15/players/60/213648.png","Bayern Munich","Danemark","Danemark","Bundesliga"
"Lahm","Philipp","MDC","http://2015.sofifa.org/15/players/60/121939.png","Bayern Munich",,"Allemagne","Bundesliga"
"Alonso","Xabi","MDC","http://2015.sofifa.org/15/players/60/45197.png","Bayern Munich",,"Espagne","Bundesliga"
"Ribery","Franck","MG","http://2015.sofifa.org/15/players/60/156616.png","Bayern Munich",,"France","Bundesliga"
"Boateng","Jerome","DC","http://2015.sofifa.org/15/players/60/183907.png","Bayern Munich","Allemagne","Allemagne","Bundesliga"
"Schweinsteiger","Bastian","MC","http://2015.sofifa.org/15/players/60/121944.png","Bayern Munich","Allemagne","Allemagne","Bundesliga"
"Martinez","Javi","DC","http://2015.sofifa.org/15/players/60/177610.png","Bayern Munich",,"Espagne","Bundesliga"
"Dante",,"DC","http://2015.sofifa.org/15/players/60/158625.png","Bayern Munich","Bresil","Bresil","Bundesliga"
"Rode","Sebastian","MDC","http://2015.sofifa.org/15/players/60/200215.png","Bayern Munich",,"Allemagne","Bundesliga"
"Pizarro","Claudio","BU","http://2015.sofifa.org/15/players/60/25420.png","Bayern Munich","Perou","Perou","Bundesliga"
"Reine","Jose","G","http://2015.sofifa.org/15/players/60/24630.png","Bayern Munich",,"Espagne","Bundesliga"
"Badstuber","Holger","DC","http://2015.sofifa.org/15/players/60/192620.png","Bayern Munich",,"Allemagne","Bundesliga"
"Rafinha",,"DD","http://2015.sofifa.org/15/players/60/168607.png","Bayern Munich",,"Bresil","Bundesliga"
"Weiser","Mitchell","MDR","http://2015.sofifa.org/15/players/60/206591.png","Bayern Munich",,"Allemagne","Bundesliga"
"Gaudino","Gianluca","MC","http://2015.sofifa.org/15/players/60/224925.png","Bayern Munich",,"Allemagne","Bundesliga"
"Kurt","Sinan","MG",,"Bayern Munich",,"Allemagne","Bundesliga"
"Weihrauch","Patrick","AT","http://2015.sofifa.org/15/players/60/210020.png","Bayern Munich",,"Allemagne","Bundesliga"
"Starke","Tom","G","http://2015.sofifa.org/15/players/60/107713.png","Bayern Munich",,"Allemagne","Bundesliga"
"Scholl","Lucas-Julian","MOC",,"Bayern Munich",,"Allemagne","Bundesliga"
"Zingerle","Leopold","G","http://2015.sofifa.org/15/players/60/222546.png","Bayern Munich",,"Allemagne","Bundesliga"
"Reus","Marco","MG","http://2015.sofifa.org/15/players/60/188350.png","BV 09 Borussia Dortmund","Allemagne","Allemagne","Bundesliga"
"Immobile","Ciro","BU","http://2015.sofifa.org/15/players/60/192387.png","BV 09 Borussia Dortmund","Italie","Italie","Bundesliga"
"Gundogan","Ilkay","MC","http://2015.sofifa.org/15/players/60/186942.png","BV 09 Borussia Dortmund",,"Allemagne","Bundesliga"
"Aubameyang","Pierre-Emerick","MDR","http://2015.sofifa.org/15/players/60/188567.png","BV 09 Borussia Dortmund",,"Gabon","Bundesliga"
"Hummels","Mats","DC","http://2015.sofifa.org/15/players/60/178603.png","BV 09 Borussia Dortmund","Allemagne","Allemagne","Bundesliga"
"Ginter","Matthias","DC","http://2015.sofifa.org/15/players/60/207862.png","BV 09 Borussia Dortmund","Allemagne","Allemagne","Bundesliga"
"Kagawa","Shinji","MOC","http://2015.sofifa.org/15/players/60/189358.png","BV 09 Borussia Dortmund",,"Japon","Bundesliga"
"Durm","Erik","DG","http://2015.sofifa.org/15/players/60/207920.png","BV 09 Borussia Dortmund","Allemagne","Allemagne","Bundesliga"
"Ramos","Adrian","BU","http://2015.sofifa.org/15/players/60/176619.png","BV 09 Borussia Dortmund","Colombie","Colombie","Bundesliga"
"Piszczek","Lukasz","DD","http://2015.sofifa.org/15/players/60/173771.png","BV 09 Borussia Dortmund","Pologne","Pologne","Bundesliga"
"Sokratis","Papastathopoulos","DC","http://2015.sofifa.org/15/players/60/172879.png","BV 09 Borussia Dortmund","Grece","Grece","Bundesliga"
"Blaszczykowski","Jakub","MDR","http://2015.sofifa.org/15/players/60/164994.png","BV 09 Borussia Dortmund",,"Pologne","Bundesliga"
"Mkhitaryan","Henrikh","MOC","http://2015.sofifa.org/15/players/60/192883.png","BV 09 Borussia Dortmund",,"Armenie","Bundesliga"
"Sarr","Marian","DC","http://2015.sofifa.org/15/players/60/212628.png","BV 09 Borussia Dortmund",,"Allemagne","Bundesliga"
"Subotic","Neven","DC","http://2015.sofifa.org/15/players/60/183556.png","BV 09 Borussia Dortmund",,"Serbie","Bundesliga"
"Bender","Sven","MDC","http://2015.sofifa.org/15/players/60/177458.png","BV 09 Borussia Dortmund",,"Allemagne","Bundesliga"
"Sahin","Nuri","MC","http://2015.sofifa.org/15/players/60/170797.png","BV 09 Borussia Dortmund",,"Turquie","Bundesliga"
"Jojic","Milos","MC","http://2015.sofifa.org/15/players/60/221838.png","BV 09 Borussia Dortmund",,"Serbie","Bundesliga"
