"Nom","Prenom","Poste","Photo","Equipe","Selection","Nationalite","Championnat"
"Griezmann","Antoine","AIG","http://2015.sofifa.org/15/players/60/194765.png","Club Atletico Madrid","France","France","Liga BBVA"
"Koke","Resurreccion","MG","http://2015.sofifa.org/15/players/60/193747.png","Club Atletico Madrid","Espagne","Espagne","Liga BBVA"
"Turan","Arda","MG","http://2015.sofifa.org/15/players/60/143745.png","Club Atletico Madrid","Turquie","Turquie","Liga BBVA"
"Cerci","Alessio","AT","http://2015.sofifa.org/15/players/60/178393.png","Club Atletico Madrid",,"Italie","Liga BBVA"
"Jimenez","Raul","BU","http://2015.sofifa.org/15/players/60/204838.png","Club Atletico Madrid",,"Mexique","Liga BBVA"
"Saul",,"MDC","http://2015.sofifa.org/15/players/60/208421.png","Club Atletico Madrid",,"Espagne","Liga BBVA"
"Mandzukic","Mario","BU","http://2015.sofifa.org/15/players/60/181783.png","Club Atletico Madrid",,"Croatie","Liga BBVA"
"Godin","Diego","DC","http://2015.sofifa.org/15/players/60/182493.png","Club Atletico Madrid","Uruguay","Uruguay","Liga BBVA"
"Oblak","Jan","G","http://2015.sofifa.org/15/players/60/200389.png","Club Atletico Madrid","Slovenie","Slovenie","Liga BBVA"
"Hernandez","Lucas","DC",,"Club Atletico Madrid",,"France","Liga BBVA"
"Miranda","Joao","DC","http://2015.sofifa.org/15/players/60/168609.png","Club Atletico Madrid","Bresil","Bresil","Liga BBVA"
"Gimenez","Jose","DC","http://2015.sofifa.org/15/players/60/216460.png","Club Atletico Madrid","Uruguay","Uruguay","Liga BBVA"
"Siqueira","Guilherme","DG","http://2015.sofifa.org/15/players/60/173228.png","Club Atletico Madrid",,"Bresil","Liga BBVA"
"Juanfran",,"DD","http://2015.sofifa.org/15/players/60/146760.png","Club Atletico Madrid","Espagne","Espagne","Liga BBVA"
"Suarez","Mario","MC","http://2015.sofifa.org/15/players/60/171018.png","Club Atletico Madrid",,"Espagne","Liga BBVA"
"Moya","Miguel","G","http://2015.sofifa.org/15/players/60/110677.png","Club Atletico Madrid",,"Espagne","Liga BBVA"
"Ansaldi","Cristian","DG","http://2015.sofifa.org/15/players/60/173306.png","Club Atletico Madrid",,"Argentine","Liga BBVA"
"Garcia","Raul","MDR","http://2015.sofifa.org/15/players/60/171579.png","Club Atletico Madrid","Espagne","Espagne","Liga BBVA"
"Gabi",,"MC","http://2015.sofifa.org/15/players/60/146954.png","Club Atletico Madrid",,"Espagne","Liga BBVA"
"Aquino","Daniel","MG","http://2015.sofifa.org/15/players/60/185137.png","Club Atletico Madrid",,"Espagne","Liga BBVA"
"Tiago",,"MC","http://2015.sofifa.org/15/players/60/4098.png","Club Atletico Madrid","Portugal","Portugal","Liga BBVA"
"Rodriguez","Cristian","MG","http://2015.sofifa.org/15/players/60/170664.png","Club Atletico Madrid","Uruguay","Uruguay","Liga BBVA"
"Gamez","Jesus","DD","http://2015.sofifa.org/15/players/60/160310.png","Club Atletico Madrid",,"Espagne","Liga BBVA"
"N'Doye","Momar","AT",,"Club Atletico Madrid",,"Senegal","Liga BBVA"
"Hector",,"BU",,"Club Atletico Madrid",,"Espagne","Liga BBVA"
"Robles","Andres","MDC","http://2015.sofifa.org/15/players/60/214840.png","Club Atletico Madrid",,"Chili","Liga BBVA"
"Saiz","Samuel","BU","http://2015.sofifa.org/15/players/60/214840.png","Club Atletico Madrid",,"Espagne","Liga BBVA"
"Espejo","Daniel","MG",,"Club Atletico Madrid",,"Espagne","Liga BBVA"
"Ramos","Carlos","MC",,"Club Atletico Madrid",,"Espagne","Liga BBVA"
"Munir","El Haddadi","AIG","http://2015.sofifa.org/15/players/60/220253.png","FC Barcelone",,"Espagne","Liga BBVA"
"Messi","Lionel","AT","http://2015.sofifa.org/15/players/60/158023.png","FC Barcelone","Argentine","Argentine","Liga BBVA"
"Neymar",,"AIG","http://2015.sofifa.org/15/players/60/190871.png","FC Barcelone","Bresil","Bresil","Liga BBVA"
"Suarez","Luis","BU","http://2015.sofifa.org/15/players/60/176580.png","FC Barcelone","Uruguay","Uruguay","Liga BBVA"
"Rakitic","Ivan","MOC","http://2015.sofifa.org/15/players/60/168651.png","FC Barcelone",,"Croatie","Liga BBVA"
"Ter Stegen","Marc-Andre","G","http://2015.sofifa.org/15/players/60/192448.png","FC Barcelone",,"Allemagne","Liga BBVA"
"Rafinha",,"MOC","http://2015.sofifa.org/15/players/60/201400.png","FC Barcelone",,"Bresil","Liga BBVA"
"Mathieu","Jeremy","DC","http://2015.sofifa.org/15/players/60/112316.png","FC Barcelone","France","France","Liga BBVA"
"Iniesta","Andres","MC","http://2015.sofifa.org/15/players/60/41.png","FC Barcelone","Espagne","Espagne","Liga BBVA"
"Sandro","Ramirez","BU",,"FC Barcelone",,"Espagne","Liga BBVA"
"Pique","Gerard","DC","http://2015.sofifa.org/15/players/60/152729.png","FC Barcelone","Espagne","Espagne","Liga BBVA"
"Roberto","Sergi","MC","http://2015.sofifa.org/15/players/60/199564.png","FC Barcelone",,"Espagne","Liga BBVA"
"Pedro",,"AIG","http://2015.sofifa.org/15/players/60/189505.png","FC Barcelone","Espagne","Espagne","Liga BBVA"
"Busquets","Sergio","MDC","http://2015.sofifa.org/15/players/60/189511.png","FC Barcelone","Espagne","Espagne","Liga BBVA"
"Alves","Daniel","DD","http://2015.sofifa.org/15/players/60/146530.png","FC Barcelone",,"Bresil","Liga BBVA"
"Alba","Jordi","DG","http://2015.sofifa.org/15/players/60/189332.png","FC Barcelone","Espagne","Espagne","Liga BBVA"
"Bravo","Claudio","G","http://2015.sofifa.org/15/players/60/174543.png","FC Barcelone","Chili","Chili","Liga BBVA"
"Bartra","Marc","DC","http://2015.sofifa.org/15/players/60/198141.png","FC Barcelone","Espagne","Espagne","Liga BBVA"
"Xavi",,"MC","http://2015.sofifa.org/15/players/60/10535.png","FC Barcelone",,"Espagne","Liga BBVA"
"Vermaelen","Thomas","DC","http://2015.sofifa.org/15/players/60/157304.png","FC Barcelone","Belgique","Belgique","Liga BBVA"
"Montoya","Martin","DD","http://2015.sofifa.org/15/players/60/194644.png","FC Barcelone",,"Espagne","Liga BBVA"
"Masherano","Javier","DC","http://2015.sofifa.org/15/players/60/142754.png","FC Barcelone","Argentine","Argentine","Liga BBVA"
"Adriano",,"DG","http://2015.sofifa.org/15/players/60/164082.png","FC Barcelone",,"Bresil","Liga BBVA"
"Masip","Jordi","G","http://2015.sofifa.org/15/players/60/199575.png","FC Barcelone",,"Espagne","Liga BBVA"
"Rodriguez","Jose","MOC",,"Deportivo La Corogne",,"Espagne","Liga BBVA"
"Cuenca","Isaac","MDR","http://2015.sofifa.org/15/players/60/200735.png","Deportivo La Corogne",,"Espagne","Liga BBVA"
"Cavaleiro","Ivan","MDR","http://2015.sofifa.org/15/players/60/212267.png","Deportivo La Corogne",,"Portugal","Liga BBVA"
"Postiga","Helder","BU","http://2015.sofifa.org/15/players/60/20176.png","Deportivo La Corogne",,"Portugal","Liga BBVA"
"Juanfran",,"DD","http://2015.sofifa.org/15/players/60/188135.png","Deportivo La Corogne",,"Espagne","Liga BBVA"
"Diakite","Modibo","DC","http://2015.sofifa.org/15/players/60/177643.png","Deportivo La Corogne",,"France","Liga BBVA"
"Dominguez","Juan","MC","http://2015.sofifa.org/15/players/60/193735.png","Deportivo La Corogne",,"Espagne","Liga BBVA"
"Insua",,"DC","http://2015.sofifa.org/15/players/60/207431.png","Deportivo La Corogne",,"Espagne","Liga BBVA"
"Lopo","Albert","DC","http://2015.sofifa.org/15/players/60/110341.png","Deportivo La Corogne",,"Espagne","Liga BBVA"
"Pablo","Manuel","DD","http://2015.sofifa.org/15/players/60/8963.png","Deportivo La Corogne",,"Espagne","Liga BBVA"
"Farina","Luis","MOC","http://2015.sofifa.org/15/players/60/203863.png","Deportivo La Corogne",,"Argentine","Liga BBVA"
"Wilk","Cezary","MDC","http://2015.sofifa.org/15/players/60/176209.png","Deportivo La Corogne",,"Pologne","Liga BBVA"
"Seoane","Diego","DG","http://2015.sofifa.org/15/players/60/191487.png","Deportivo La Corogne",,"Espagne","Liga BBVA"
"Canella","Roberto","DG","http://2015.sofifa.org/15/players/60/178297.png","Deportivo La Corogne",,"Espagne","Liga BBVA"
"Fabricio",,"G","http://2015.sofifa.org/15/players/60/177723.png","Deportivo La Corogne",,"Espagne","Liga BBVA"
"Medunjanin","Haris","MC","http://2015.sofifa.org/15/players/60/177390.png","Deportivo La Corogne",,"Bosnie-Herzegovine","Liga BBVA"
"Salomao",,"AIG","http://2015.sofifa.org/15/players/60/200271.png","Deportivo La Corogne",,"Portugal","Liga BBVA"
"Bergantinos","Alex","MDC","http://2015.sofifa.org/15/players/60/188931.png","Deportivo La Corogne",,"Espagne","Liga BBVA"
"Toche",,"BU","http://2015.sofifa.org/15/players/60/157270.png","Deportivo La Corogne",,"Espagne","Liga BBVA"
