"Nom","Prenom","Poste","Photo","Equipe","Selection","Nationalite","Championnat"
"Fumu Tamuzo","Francois-Xavier","AID","http://2015.sofifa.org/15/players/60/222923.png","AJ Auxerre",,"France","Ligue 2"
"Castelletto","Jean-Charles","DC","http://2015.sofifa.org/15/players/60/213868.png","AJ Auxerre",,"France","Ligue 2"
"Ait Ben Idir","Jamel","MC","http://2015.sofifa.org/15/players/60/53034.png","AJ Auxerre",,"Maroc","Ligue 2"
"Fontaine","Thomas","DC","http://2015.sofifa.org/15/players/60/190530.png","AJ Auxerre",,"France","Ligue 2"
"Haller","Sebastien","BU","http://2015.sofifa.org/15/players/60/205693.png","AJ Auxerre",,"France","Ligue 2"
"Leon","Donovan","G","http://2015.sofifa.org/15/players/60/205377.png","AJ Auxerre",,"Guyana","Ligue 2"
"Mulumba","Remi","MC","http://2015.sofifa.org/15/players/60/200130.png","AJ Auxerre",,"France","Ligue 2"
"Gavory","Nicolas","MDR","http://2015.sofifa.org/15/players/60/211844.png","AJ Auxerre",,"France","Ligue 2"
"Kilic","Samed","MC",,"AJ Auxerre",,"France","Ligue 2"
"Baby","Amara","MG","http://2015.sofifa.org/15/players/60/194718.png","AJ Auxerre",,"France","Ligue 2"
"Lembet","Geoffrey","G","http://2015.sofifa.org/15/players/60/188881.png","AJ Auxerre",,"Republique Centraficaine","Ligue 2"
"Diarra","Cheick","BU","http://2015.sofifa.org/15/players/60/205876.png","AJ Auxerre",,"Mali","Ligue 2"
"Djellabi","Karim","DG","http://2015.sofifa.org/15/players/60/139829.png","AJ Auxerre",,"France","Ligue 2"
"Sammaritano","Frederic","AIG","http://2015.sofifa.org/15/players/60/187988.png","AJ Auxerre",,"France","Ligue 2"
"Mbombo","Yannis","BU","http://2015.sofifa.org/15/players/60/221274.png","AJ Auxerre",,"Belgique","Ligue 2"
"Viale","Julien","BU","http://2015.sofifa.org/15/players/60/138945.png","AJ Auxerre",,"France","Ligue 2"
"Gragnic","Vincent","MOC","http://2015.sofifa.org/15/players/60/152926.png","AJ Auxerre",,"France","Ligue 2"
"Staerck-Weille","Nicolas","MC","http://2015.sofifa.org/15/players/60/213812.png","AJ Auxerre",,"France","Ligue 2"
"Puygrenier","Sebastien","DC","http://2015.sofifa.org/15/players/60/150564.png","AJ Auxerre",,"France","Ligue 2"
"Boe-Kane","Yann","MDC","http://2015.sofifa.org/15/players/60/215786.png","AJ Auxerre",,"France","Ligue 2"
"Cherif","Tafsir","AIG",,"AJ Auxerre",,"Guinee","Ligue 2"
"Nabab","Livio","BU","http://2015.sofifa.org/15/players/60/192963.png","AJ Auxerre",,"France","Ligue 2"
"Ndong","Henri","DD","http://2015.sofifa.org/15/players/60/210464.png","AJ Auxerre",,"Gabon","Ligue 2"
"Bouby","Pierre","MDC","http://2015.sofifa.org/15/players/60/198816.png","AJ Auxerre",,"France","Ligue 2"
"Lefebvre","Gregoire","MC",,"AJ Auxerre",,"France","Ligue 2"
"Aguilar","Ruben","DD",,"AJ Auxerre",,"France","Ligue 2"
"Sefil","Sonny","DC",,"AJ Auxerre",,"France","Ligue 2"
"Jacob","Valentin","MOC",,"AJ Auxerre",,"France","Ligue 2"
"Nestor","Loic","DC","http://2015.sofifa.org/15/players/60/183973.png","LB Chateauroux",,"France","Ligue 2"
"Makengo","Terence","BU","http://2015.sofifa.org/15/players/60/190488.png","LB Chateauroux",,"France","Ligue 2"
"Garita","Paul","BU","http://2015.sofifa.org/15/players/60/212365.png","LB Chateauroux",,"Cameroun","Ligue 2"
"Zola","Distel","MDC","http://2015.sofifa.org/15/players/60/183804.png","LB Chateauroux",,"Republique Democratique du Congo","Ligue 2"
"Plessis","Damien","MDC","http://2015.sofifa.org/15/players/60/183926.png","LB Chateauroux",,"France","Ligue 2"
"Bonnart","Laurent","DG","http://2015.sofifa.org/15/players/60/50894.png","LB Chateauroux",,"France","Ligue 2"
"Hountondji","Cedric","DC","http://2015.sofifa.org/15/players/60/219680.png","LB Chateauroux",,"France","Ligue 2"
"Boyer","Fabien","DC","http://2015.sofifa.org/15/players/60/208832.png","LB Chateauroux",,"France","Ligue 2"
"Dudouit","Emeric","DD","http://2015.sofifa.org/15/players/60/205862.png","LB Chateauroux",,"France","Ligue 2"
"Thil","Gregory","BU","http://2015.sofifa.org/15/players/60/50949.png","LB Chateauroux",,"France","Ligue 2"
"Omam Biyik","Emilio","BU",,"LB Chateauroux",,"France","Ligue 2"
"Obiang","Johann","DG","http://2015.sofifa.org/15/players/60/212483.png","LB Chateauroux",,"France","Ligue 2"
"Chamed","Nasser","MDR","http://2015.sofifa.org/15/players/60/210706.png","LB Chateauroux",,"France","Ligue 2"
"Roudet","Sebastien","MC","http://2015.sofifa.org/15/players/60/116762.png","LB Chateauroux",,"France","Ligue 2"
"Bain","Denys","DC","http://2015.sofifa.org/15/players/60/208019.png","LB Chateauroux",,"France","Ligue 2"
"Bonnefoi","Landry","G","http://2015.sofifa.org/15/players/60/137862.png","LB Chateauroux",,"France","Ligue 2"
"Sakhi","Hamza","MG",,"LB Chateauroux",,"Maroc","Ligue 2"
"Millieras","Jonathan","G","http://2015.sofifa.org/15/players/60/204891.png","LB Chateauroux",,"France","Ligue 2"
"Ehua","Elie","MDC","http://2015.sofifa.org/15/players/60/206498.png","LB Chateauroux",,"France","Ligue 2"
"N'Nomo","Ulrich","BU",,"LB Chateauroux",,"France","Ligue 2"
"Rivas","Jonathan","BU","http://2015.sofifa.org/15/players/60/214654.png","LB Chateauroux",,"France","Ligue 2"
"Kamara","Hassane","MOC",,"LB Chateauroux",,"France","Ligue 2"
"Darrieux","Maxime","MDC",,"LB Chateauroux",,"France","Ligue 2"
"Bobek","Theo","DD",,"LB Chateauroux",,"France","Ligue 2"
"Tait","Flavien","MOC","http://2015.sofifa.org/15/players/60/213388.png","LB Chateauroux",,"France","Ligue 2"
"Souchaud","Louis","G",,"LB Chateauroux",,"France","Ligue 2"
"Koffi","Erwin","BU",,"LB Chateauroux",,"France","Ligue 2"
"Mauricio","Tony","AID",,"LB Chateauroux",,"France","Ligue 2"
"Sartre","Romain","DC","http://2015.sofifa.org/15/players/60/150677.png","Nimes Olympique",,"France","Ligue 2"
"Maoulida","Toifilou","BU","http://2015.sofifa.org/15/players/60/12167.png","Nimes Olympique",,"France","Ligue 2"
"Harek","Fethi","DG","http://2015.sofifa.org/15/players/60/182816.png","Nimes Olympique",,"Algerie","Ligue 2"
"Barrillon","Fabien","DC","http://2015.sofifa.org/15/players/60/186962.png","Nimes Olympique",,"France","Ligue 2"
"Azouni","Larry","MDC","http://2015.sofifa.org/15/players/60/206310.png","Nimes Olympique",,"France","Ligue 2"
"Njiki Tchoutou","Franck","MDR",,"Nimes Olympique",,"Cameroun","Ligue 2"
