"Nom","Prenom","Poste","Photo","Equipe","Selection","Nationalite","Championnat"
"Swanson","Ben","MC",,"Colombus Crew",,"Etats-Unis","MLS"
"Trapp","Wil","MDC","http://2015.sofifa.org/15/players/60/212424.png","Colombus Crew",,"Etats-Unis","MLS"
"Pogatetz","Emanuel","DC","http://2015.sofifa.org/15/players/60/12940.png","Colombus Crew",,"Autriche","MLS"
"Wahl","Tyson","DC","http://2015.sofifa.org/15/players/60/176230.png","Colombus Crew",,"Etats-Unis","MLS"
"Parkhurst","Michael","DC","http://2015.sofifa.org/15/players/60/164839.png","Colombus Crew",,"Etats-Unis","MLS"
"Clark","Steve","G","http://2015.sofifa.org/15/players/60/198355.png","Colombus Crew",,"Etats-Unis","MLS"
"Lampson","Matt","G","http://2015.sofifa.org/15/players/60/207427.png","Colombus Crew",,"Etats-Unis","MLS"
"Anor","Bernardo","MG","http://2015.sofifa.org/15/players/60/202225.png","Colombus Crew",,"Venezuela","MLS"
"Higuain","Federico","MOC","http://2015.sofifa.org/15/players/60/167669.png","Colombus Crew",,"Argentine","MLS"
"Speas","Ben","MOC","http://2015.sofifa.org/15/players/60/207550.png","Colombus Crew",,"Etats-Unis","MLS"
"Jimenez","Hector","MDR","http://2015.sofifa.org/15/players/60/202231.png","Colombus Crew",,"Etats-Unis","MLS"
"Viana","Agustin","MDC","http://2015.sofifa.org/15/players/60/186602.png","Colombus Crew",,"Etats-Unis","MLS"
"Meram","Justin","MG","http://2015.sofifa.org/15/players/60/202223.png","Colombus Crew",,"Irak","MLS"
"Finlay","Ethan","MDR","http://2015.sofifa.org/15/players/60/207669.png","Colombus Crew",,"Etats-Unis","MLS"
"Tchani","Tony","MDC","http://2015.sofifa.org/15/players/60/197717.png","Colombus Crew",,"Cameroun","MLS"
"Arrieta","Jairo","BU","http://2015.sofifa.org/15/players/60/209457.png","Colombus Crew",,"Costa Rica","MLS"
"Francis","Waylon","DG","http://2015.sofifa.org/15/players/60/221050.png","Colombus Crew",,"Costa Rica","MLS"
"Schoenfeld","Aaron","BU","http://2015.sofifa.org/15/players/60/208540.png","Colombus Crew",,"Etats-Unis","MLS"
"Paladini","Daniel","MDC","http://2015.sofifa.org/15/players/60/177558.png","Colombus Crew",,"Etats-Unis","MLS"
"Gall","Romain","MOC",,"Colombus Crew",,"Etats-Unis","MLS"
"Barson","Chad","DD","http://2015.sofifa.org/15/players/60/212685.png","Colombus Crew",,"Etats-Unis","MLS"
"George","Kevan","MDC","http://2015.sofifa.org/15/players/60/207671.png","Colombus Crew",,"Trinite-et-Tobago","MLS"
"Bedell","Adam","BU","http://2015.sofifa.org/15/players/60/222228.png","Colombus Crew",,"Etats-Unis","MLS"
"Gehrig","Eric","DC","http://2015.sofifa.org/15/players/60/202776.png","Colombus Crew",,"Etats-Unis","MLS"
"Williams","Josh","DD","http://2015.sofifa.org/15/players/60/202171.png","Colombus Crew",,"Etats-Unis","MLS"
"Wiet","Matt","DC","http://2015.sofifa.org/15/players/60/221051.png","Colombus Crew",,"Etats-Unis","MLS"
"Sweat","Ben","DG","http://2015.sofifa.org/15/players/60/221684.png","Colombus Crew",,"Etats-Unis","MLS"
"Baiden","Kingsley","MDC","http://2015.sofifa.org/15/players/60/222042.png","Colombus Crew",,"Ghana","MLS"
"Hamid","Bill","G","http://2015.sofifa.org/15/players/60/194904.png","DC United","Etats-Unis","Etats-Unis","MLS"
"Johnson","Eddie","BU","http://2015.sofifa.org/15/players/60/46727.png","DC United",,"Etats-Unis","MLS"
"Rolfe","Chris","MG","http://2015.sofifa.org/15/players/60/164571.png","DC United",,"Etats-Unis","MLS"
"Kitchen","Perry","MDC","http://2015.sofifa.org/15/players/60/202164.png","DC United",,"Etats-Unis","MLS"
"DeLeon","Nick","MDR","http://2015.sofifa.org/15/players/60/206635.png","DC United",,"Etats-Unis","MLS"
"Silva","Luis","MOC","http://2015.sofifa.org/15/players/60/206633.png","DC United",,"Etats-Unis","MLS"
"Jeffrey","Jared","MC","http://2015.sofifa.org/15/players/60/187035.png","DC United",,"Etats-Unis","MLS"
"Willis","Joe","G","http://2015.sofifa.org/15/players/60/202215.png","DC United",,"Etats-Unis","MLS"
"Shanosky","Conor","DC","http://2015.sofifa.org/15/players/60/200963.png","DC United",,"Etats-Unis","MLS"
"Pontius","Chris","MG","http://2015.sofifa.org/15/players/60/190552.png","DC United",,"Etats-Unis","MLS"
"Korb","Chris","DD","http://2015.sofifa.org/15/players/60/202214.png","DC United",,"Etats-Unis","MLS"
"Opare","Kofi","DC","http://2015.sofifa.org/15/players/60/212958.png","DC United",,"Canada","MLS"
"Martin","Collin","MOC","http://2015.sofifa.org/15/players/60/216563.png","DC United",,"Etats-Unis","MLS"
"Doyle","Conor","BU","http://2015.sofifa.org/15/players/60/200799.png","DC United",,"Etats-Unis","MLS"
"Seaton","Michael","BU","http://2015.sofifa.org/15/players/60/212909.png","DC United",,"Jamaique","MLS"
"Boswell","Bobby","DC","http://2015.sofifa.org/15/players/60/165169.png","DC United",,"Etats-Unis","MLS"
"Arnaud","Davy","MC","http://2015.sofifa.org/15/players/60/52305.png","DC United",,"Etats-Unis","MLS"
"Kemp","Taylor","DG","http://2015.sofifa.org/15/players/60/212709.png","DC United",,"Etats-Unis","MLS"
"Attakora","Nana","DC","http://2015.sofifa.org/15/players/60/182504.png","DC United",,"Canada","MLS"
"Dykstra","Andrew","G","http://2015.sofifa.org/15/players/60/193188.png","DC United",,"Etats-Unis","MLS"
"Parke","Jeff","DC","http://2015.sofifa.org/15/players/60/155891.png","DC United",,"Etats-Unis","MLS"
"Inkoom","Samuel","DD","http://2015.sofifa.org/15/players/60/192225.png","DC United",,"Ghana","MLS"
"Porter","Kyle","MG","http://2015.sofifa.org/15/players/60/201872.png","DC United",,"Canada","MLS"
"Estrada","David","BU","http://2015.sofifa.org/15/players/60/198281.png","DC United",,"Etats-Unis","MLS"
"Caskey","Alex","MG","http://2015.sofifa.org/15/players/60/202245.png","DC United",,"Etats-Unis","MLS"
"Espindola","Fabian","BU","http://2015.sofifa.org/15/players/60/185064.png","DC United",,"Argentine","MLS"
"Franklin","Sean","DD","http://2015.sofifa.org/15/players/60/186645.png","DC United",,"Etats-Unis","MLS"
"Birnbaum","Steve","DC","http://2015.sofifa.org/15/players/60/221621.png","DC United",,"Etats-Unis","MLS"
"Neal","Lewis","MG","http://2015.sofifa.org/15/players/60/100799.png","DC United",,"Angleterre","MLS"
"Henry","Thierry","AT","http://2015.sofifa.org/15/players/60/1625.png","New York Red Bulls",,"France","MLS"
"Cahill","Tim","MC","http://2015.sofifa.org/15/players/60/51412.png","New York Red Bulls","Australie","Australie","MLS"
"Luyindula","Peguy","MOC","http://2015.sofifa.org/15/players/60/12666.png","New York Red Bulls",,"France","MLS"
"Wright-Phillips","Bradley","BU","http://2015.sofifa.org/15/players/60/164464.png","New York Red Bulls",,"Angleterre","MLS"
"Convey","Bobby","MG","http://2015.sofifa.org/15/players/60/32190.png","New York Red Bulls",,"Etats-Unis","MLS"
"Robles","Luc","G","http://2015.sofifa.org/15/players/60/179820.png","New York Red Bulls",,"Etats-Unis","MLS"
"Miller","Roy","DG","http://2015.sofifa.org/15/players/60/171682.png","New York Red Bulls",,"Costa Rica","MLS"
"Sam","Lloyd","MDR","http://2015.sofifa.org/15/players/60/138188.png","New York Red Bulls",,"Ghana","MLS"
"McCarty","Dax","MDC","http://2015.sofifa.org/15/players/60/176071.png","New York Red Bulls",,"Etats-Unis","MLS"
"Kimura","Kosuke","DD","http://2015.sofifa.org/15/players/60/180700.png","New York Red Bulls",,"Japon","MLS"
"Miazga","Matt","DC","http://2015.sofifa.org/15/players/60/215565.png","New York Red Bulls",,"Etats-Unis","MLS"
"Armando",,"DC","http://2015.sofifa.org/15/players/60/115577.png","New York Red Bulls",,"Espagne","MLS"
"Lade","Connor","MDC",,"New York Red Bulls",,"Etats-Unis","MLS"
"Sekagya","Ibrahim","DC","http://2015.sofifa.org/15/players/60/158541.png","New York Red Bulls",,"Ouganda","MLS"
"Alexander","Eric","MC","http://2015.sofifa.org/15/players/60/198007.png","New York Red Bulls",,"Etats-Unis","MLS"
"Olave","Jamison","DC","http://2015.sofifa.org/15/players/60/186747.png","New York Red Bulls",,"Colombie","MLS"
"Bover",,"MDR","http://2015.sofifa.org/15/players/60/204887.png","New York Red Bulls",,"Espagne","MLS"
"Oyongo","Ambroise","MG",,"New York Red Bulls",,"Cameroun","MLS"
"Meara","Ryan","G","http://2015.sofifa.org/15/players/60/207610.png","New York Red Bulls",,"Irlande","MLS"
"Castano","Santiago","G","http://2015.sofifa.org/15/players/60/212415.png","New York Red Bulls",,"Etats-Unis","MLS"
"Obekop","Marius","MG","http://2015.sofifa.org/15/players/60/213721.png","New York Red Bulls",,"Cameroun","MLS"
