"Nom","Prenom","Poste","Photo","Equipe","Selection","Nationalite","Championnat"
"Chambers","Calum","DD","http://2015.sofifa.org/15/players/60/205989.png","Arsenal FC","Angleterre","Angleterre","Premier League"
"Ozil","Mesut","MOC","http://2015.sofifa.org/15/players/60/176635.png","Arsenal FC","Allemagne","Allemagne","Premier League"
"Campbell","Joel","MDR","http://2015.sofifa.org/15/players/60/204713.png","Arsenal FC",,"Costa Rica","Premier League"
"Sanchez","Alexis","AID","http://2015.sofifa.org/15/players/60/184941.png","Arsenal FC","Chili","Chili","Premier League"
"Ramsey","Aaron","MC","http://2015.sofifa.org/15/players/60/186561.png","Arsenal FC","Pays de Galles","Pays de Galles","Premier League"
"Oxlade-Chamberlain","Alex","MDR","http://2015.sofifa.org/15/players/60/198784.png","Arsenal FC","Angleterre","Angleterre","Premier League"
"Welbeck","Danny","BU","http://2015.sofifa.org/15/players/60/186146.png","Arsenal FC","Angleterre","Angleterre","Premier League"
"Zelalem","Gedion","MC","http://2015.sofifa.org/15/players/60/216699.png","Arsenal FC",,"Allemagne","Premier League"
"Wilshere","Jack","MC","http://2015.sofifa.org/15/players/60/189461.png","Arsenal FC","Angleterre","Angleterre","Premier League"
"Walcott","Theo","MDR","http://2015.sofifa.org/15/players/60/164859.png","Arsenal FC",,"Angleterre","Premier League"
"Gnabry","Serge","MDR","http://2015.sofifa.org/15/players/60/206113.png","Arsenal FC",,"Allemagne","Premier League"
"Sanogo","Yaya","BU","http://2015.sofifa.org/15/players/60/196932.png","Arsenal FC",,"France","Premier League"
"Bellerin","Hector","DD","http://2015.sofifa.org/15/players/60/203747.png","Arsenal FC",,"Espagne","Premier League"
"Podolski","Lukas","MG","http://2015.sofifa.org/15/players/60/150516.png","Arsenal FC","Allemagne","Allemagne","Premier League"
"Cazorla","Santiago","MG","http://2015.sofifa.org/15/players/60/146562.png","Arsenal FC","Espagne","Espagne","Premier League"
"Mertesacker","Per","DC","http://2015.sofifa.org/15/players/60/53612.png","Arsenal FC",,"Allemagne","Premier League"
"Gibbs","Kieran","DG","http://2015.sofifa.org/15/players/60/186115.png","Arsenal FC",,"Angleterre","Premier League"
"Debuchy","Mathieu","DD","http://2015.sofifa.org/15/players/60/158626.png","Arsenal FC","France","France","Premier League"
"Giroud","Olivier","BU","http://2015.sofifa.org/15/players/60/178509.png","Arsenal FC","France","France","Premier League"
"Arteta","Mikel","MDC","http://2015.sofifa.org/15/players/60/45119.png","Arsenal FC",,"Espagne","Premier League"
"Koscielny","Laurent","DC","http://2015.sofifa.org/15/players/60/165229.png","Arsenal FC","France","France","Premier League"
"Szczesny","Wojciech","G","http://2015.sofifa.org/15/players/60/186153.png","Arsenal FC","Pologne","Pologne","Premier League"
"Ospina","David","G","http://2015.sofifa.org/15/players/60/176550.png","Arsenal FC","Colombie","Colombie","Premier League"
"Akpom","Chuba","BU","http://2015.sofifa.org/15/players/60/213418.png","Arsenal FC",,"Angleterre","Premier League"
"Rosicky","Tomas","MOC","http://2015.sofifa.org/15/players/60/8473.png","Arsenal FC","Republique Tcheque","Republique Tcheque","Premier League"
"Diaby","Abou","MC","http://2015.sofifa.org/15/players/60/163423.png","Arsenal FC",,"France","Premier League"
"Coquelin","Francis","MG","http://2015.sofifa.org/15/players/60/189271.png","Arsenal FC",,"France","Premier League"
"Flamini","Mathieu","MDC","http://2015.sofifa.org/15/players/60/156722.png","Arsenal FC",,"France","Premier League"
"Monreal","Ignacio","DG","http://2015.sofifa.org/15/players/60/177604.png","Arsenal FC",,"Espagne","Premier League"
"Martinez","Emiliano","G","http://2015.sofifa.org/15/players/60/202811.png","Arsenal FC",,"Argentine","Premier League"
"Vickers","Josh","G","http://2015.sofifa.org/15/players/60/224130.png","Arsenal FC",,"Angleterre","Premier League"
"Huddart","Ryan","G","http://2015.sofifa.org/15/players/60/222255.png","Arsenal FC",,"Angleterre","Premier League"
"Moore","Tafari","DD","http://2015.sofifa.org/15/players/60/224129.png","Arsenal FC",,"Angleterre","Premier League"
"Benteke","Christian","BU","http://2015.sofifa.org/15/players/60/184111.png","Aston Villa FC","Belgique","Belgique","Premier League"
"Vlaar","Ron","DC","http://2015.sofifa.org/15/players/60/168585.png","Aston Villa FC","Pays-Bas","Pays-Bas","Premier League"
"Delph","Fabian","MC","http://2015.sofifa.org/15/players/60/183427.png","Aston Villa FC","Angleterre","Angleterre","Premier League"
"Okore","Jores","DC","http://2015.sofifa.org/15/players/60/204163.png","Aston Villa FC","Danemark","Danemark","Premier League"
"Grealish","Jack","MG","http://2015.sofifa.org/15/players/60/204163.png","Aston Villa FC",,"Irlande","Premier League"
"Cleverley","Tom","MC","http://2015.sofifa.org/15/players/60/189725.png","Aston Villa FC",,"Angleterre","Premier League"
"Agbonlahor","Gabriel","AT","http://2015.sofifa.org/15/players/60/164469.png","Aston Villa FC",,"Angleterre","Premier League"
"Weimann","Andreas","AT","http://2015.sofifa.org/15/players/60/194017.png","Aston Villa FC","Autriche","Autriche","Premier League"
"Sanchez","Carlos","MDC","http://2015.sofifa.org/15/players/60/182882.png","Aston Villa FC","Colombie","Colombie","Premier League"
"Bent","Darren","BU","http://2015.sofifa.org/15/players/60/50598.png","Aston Villa FC",,"Angleterre","Premier League"
"Cole","Joe","MDR","http://2015.sofifa.org/15/players/60/27.png","Aston Villa FC",,"Angleterre","Premier League"
"Guzan","Brad","G","http://2015.sofifa.org/15/players/60/164505.png","Aston Villa FC","Etats-Unis","Etats-Unis","Premier League"
"Bacuna","Leandro","DD","http://2015.sofifa.org/15/players/60/198133.png","Aston Villa FC",,"Pays-Bas","Premier League"
"Westwoot","Ashley","MDC","http://2015.sofifa.org/15/players/60/189280.png","Aston Villa FC",,"Angleterre","Premier League"
"Kozak","Libor","BU","http://2015.sofifa.org/15/players/60/188871.png","Aston Villa FC","Republique Tcheque","Republique Tcheque","Premier League"
