"Nom","Prenom","Poste","Photo","Equipe","Selection","Nationalite","Championnat"
"Tshabalala","Siphiwe","MG","http://2015.sofifa.org/15/players/60/183883.png","Kaizer Chiefs FC",,"Afrique du Sud","Masu"
"Khune","Itumeleng","G","http://2015.sofifa.org/15/players/60/165247.png","Kaizer Chiefs FC","Afrique du Sud","Afrique du Sud","Premier Soccer League"
"Masilela","Tsepo","DG","http://2015.sofifa.org/15/players/60/186890.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Parker","Bernard","AT","http://2015.sofifa.org/15/players/60/190471.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Nkosi","Siyabonga","MOC","http://2015.sofifa.org/15/players/60/174407.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Gould","Morgan","DC","http://2015.sofifa.org/15/players/60/191160.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Gaxa","Siboniso","DD","http://2015.sofifa.org/15/players/60/174402.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Matholo","Eric","DC","http://2015.sofifa.org/15/players/60/205857.png","Kaizer Chiefs FC","Afrique du Sud","Afrique du Sud","Premier Soccer League"
"Dladla","Josta","MDR","http://2015.sofifa.org/15/players/60/182201.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Lebese","George","MG","http://2015.sofifa.org/15/players/60/188826.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Letsholonyane","Reneilwe","MC","http://2015.sofifa.org/15/players/60/188585.png","Kaizer Chiefs FC","Afrique du Sud","Afrique du Sud","Premier Soccer League"
"Masango","Mandla","MDR","http://2015.sofifa.org/15/players/60/183847.png","Kaizer Chiefs FC","Afrique du Sud","Afrique du Sud","Premier Soccer League"
"Nkhatha","Kingston","BU","http://2015.sofifa.org/15/players/60/196063.png","Kaizer Chiefs FC",,"Zimbabwe","Premier Soccer League"
"Pieterse","Reyaad","G","http://2015.sofifa.org/15/players/60/208560.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Mphela","Katlego","BU","http://2015.sofifa.org/15/players/60/159510.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Katsande","Willard","MC","http://2015.sofifa.org/15/players/60/206124.png","Kaizer Chiefs FC",,"Zimbabwe","Premier Soccer League"
"Karuru","Ovidy","MDR","http://2015.sofifa.org/15/players/60/193878.png","Kaizer Chiefs FC",,"Zimbabwe","Premier Soccer League"
"Mashamaite","Tefu","DC","http://2015.sofifa.org/15/players/60/203731.png","Kaizer Chiefs FC","Afrique du Sud","Afrique du Sud","Premier Soccer League"
"Rusike","Matthew","AT","http://2015.sofifa.org/15/players/60/211178.png","Kaizer Chiefs FC",,"Zimbabwe","Premier Soccer League"
"Khuzwayo","Brilliant","G","http://2015.sofifa.org/15/players/60/209874.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Moleko","Kgotso","DD","http://2015.sofifa.org/15/players/60/209873.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Bukenya","Ivan","DC","http://2015.sofifa.org/15/players/60/220622.png","Kaizer Chiefs FC",,"Ouganda","Premier Soccer League"
"Maluleka","George","MOC","http://2015.sofifa.org/15/players/60/203593.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Matombo","Chris","MC","http://2015.sofifa.org/15/players/60/224451.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Mthembu","Siphelele","BU","http://2015.sofifa.org/15/players/60/188564.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Mokgothu","Levy","DG","http://2015.sofifa.org/15/players/60/223661.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Ekstein","Hendrick","MOC","http://2015.sofifa.org/15/players/60/224449.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Mtsweni","Simphiwe","DG","http://2015.sofifa.org/15/players/60/219666.png","Kaizer Chiefs FC",,"Afrique du Sud","Premier Soccer League"
"Masuku","Khethokwakhe","MG","http://2015.sofifa.org/15/players/60/209787.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Manyisa","Oupa","MC","http://2015.sofifa.org/15/players/60/188403.png","Orlando Pirates FC","Afrique du Sud","Afrique du Sud","Premier Soccer League"
"Segolela","Tlou","MDR","http://2015.sofifa.org/15/players/60/184920.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Jele","Happy","DD","http://2015.sofifa.org/15/players/60/179822.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Erasmus","Kermit","BU","http://2015.sofifa.org/15/players/60/182528.png","Orlando Pirates FC","Afrique du Sud","Afrique du Sud","Premier Soccer League"
"Lekgwathi","Lucky","DC","http://2015.sofifa.org/15/players/60/167626.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Meyiwa","Senzo","G","http://2015.sofifa.org/15/players/60/167624.png","Orlando Pirates FC","Afrique du Sud","Afrique du Sud","Premier Soccer League"
"Mahamutsa","Rooi","DC","http://2015.sofifa.org/15/players/60/194325.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Klate","Daine","MG","http://2015.sofifa.org/15/players/60/183891.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Masalesa","Lehlogonolo","MC","http://2015.sofifa.org/15/players/60/211424.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Sangweni","Siyabonga","DC","http://2015.sofifa.org/15/players/60/198832.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Matlaba","Thabo","DG","http://2015.sofifa.org/15/players/60/207785.png","Orlando Pirates FC","Afrique du Sud","Afrique du Sud","Premier Soccer League"
"Majoro","Lehlogonolo","BU","http://2015.sofifa.org/15/players/60/204425.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Myeni","Sifiso","MDR","http://2015.sofifa.org/15/players/60/208012.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Mhlongo","Brighton","G","http://2015.sofifa.org/15/players/60/204805.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Ntshumayelo","Thandani","MDC","http://2015.sofifa.org/15/players/60/208013.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Makola","Mpho","MOC","http://2015.sofifa.org/15/players/60/211260.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Gcaba","Ayanda","DG","http://2015.sofifa.org/15/players/60/209786.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Phungwayo","Patrick","DG","http://2015.sofifa.org/15/players/60/209785.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Bacela","Lennox","BU","http://2015.sofifa.org/15/players/60/216424.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Gabuza","Thamsanga","BU","http://2015.sofifa.org/15/players/60/211439.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Nyauza","Ntsikelelo","DC","http://2015.sofifa.org/15/players/60/221599.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Qalinge","Thabo","MDR","http://2015.sofifa.org/15/players/60/224484.png","Orlando Pirates FC",,"Afrique du Sud","Premier Soccer League"
"Pelembe","Helder","BU","http://2015.sofifa.org/15/players/60/196814.png","Orlando Pirates FC",,"Mozambique","Premier Soccer League"
