"Nom","Logo","Pays"
"Australie","http://upload.wikimedia.org/wikipedia/fr/thumb/1/1f/Football_Australie_federation.svg/100px-Football_Australie_federation.svg.png","Australie"
"Coree du Sud","http://upload.wikimedia.org/wikipedia/fr/thumb/9/93/Football_Cor%C3%A9e_du_Sud_federation.svg/100px-Football_Cor%C3%A9e_du_Sud_federation.svg.png","Coree du Sud"
"Inde","http://upload.wikimedia.org/wikipedia/fr/thumb/6/64/Football_Inde_federation.svg/100px-Football_Inde_federation.svg.png","Inde"
"Afrique du Sud","http://upload.wikimedia.org/wikipedia/fr/thumb/d/d7/Football_Afrique_du_Sud_federation.svg/100px-Football_Afrique_du_Sud_federation.svg.png","Afrique du Sud"
"Cameroun","http://upload.wikimedia.org/wikipedia/fr/thumb/e/e8/Cameroon_2010crest.png/150px-Cameroon_2010crest.png","Cameroun"
"Cote d'Ivoire","http://upload.wikimedia.org/wikipedia/fr/c/c2/Football_C%C3%B4te_d%27Ivoire_federation.png","Cote d'Ivoire"
"Egypte","http://upload.wikimedia.org/wikipedia/fr/thumb/e/e9/Football_%C3%89gypte_federation.svg/langfr-200px-Football_%C3%89gypte_federation.svg.png","Egypte"
"Etats-Unis","http://upload.wikimedia.org/wikipedia/fr/thumb/1/14/US_Soccer_Logo.png/130px-US_Soccer_Logo.png","Etats-Unis"
"Mexique","http://upload.wikimedia.org/wikipedia/fr/thumb/f/f2/Embl%C3%A8me_de_l%27%C3%A9quipe_du_Mexique_de_football.png/130px-Embl%C3%A8me_de_l%27%C3%A9quipe_du_Mexique_de_football.png","Mexique"
"Argentine","http://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Football_Argentine_federation.svg/langfr-130px-Football_Argentine_federation.svg.png","Argentine"
"Bolivie","http://upload.wikimedia.org/wikipedia/fr/thumb/a/a6/Football_Bolivie_federation.svg/langfr-130px-Football_Bolivie_federation.svg.png","Bolivie"
"Bresil","http://upload.wikimedia.org/wikipedia/fr/thumb/e/ea/Football_Br%C3%A9sil_federation.svg/langfr-130px-Football_Br%C3%A9sil_federation.svg.png","Bresil"
"Chili","http://upload.wikimedia.org/wikipedia/fr/thumb/3/36/Football_Chili_federation.svg/langfr-130px-Football_Chili_federation.svg.png","Chili"
"Colombie","http://upload.wikimedia.org/wikipedia/fr/thumb/a/ad/Football_Colombie_federation.svg/langfr-130px-Football_Colombie_federation.svg.png","Colombie"
"Equateur","http://upload.wikimedia.org/wikipedia/fr/thumb/f/f2/Football_%C3%89quateur_federation.svg/langfr-130px-Football_%C3%89quateur_federation.svg.png","Equateur"
"Paraguay","http://upload.wikimedia.org/wikipedia/fr/thumb/e/e7/Football_Paraguay_federation.svg/langfr-130px-Football_Paraguay_federation.svg.png","Paraguay"
"Perou","http://upload.wikimedia.org/wikipedia/fr/thumb/9/90/Football_P%C3%A9rou_federation.svg/langfr-130px-Football_P%C3%A9rou_federation.svg.png","Perou"
"Uruguay","http://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Football_Uruguay_federation.svg/langfr-130px-Football_Uruguay_federation.svg.png","Uruguay"
"Venezuela","http://upload.wikimedia.org/wikipedia/fr/thumb/5/51/Football_Venezuela_federation.svg/langfr-130px-Football_Venezuela_federation.svg.png","Venezuela"
"Nouvelle-Zelande","http://upload.wikimedia.org/wikipedia/fr/thumb/6/6d/Nouvelle_Z%C3%A9lande_football_logo.png/130px-Nouvelle_Z%C3%A9lande_football_logo.png","Nouvelle-Zelande"
"Allemagne","http://upload.wikimedia.org/wikipedia/fr/e/e3/Logo_mannschaft_2014.jpg","Allemagne"
"Angleterre","http://upload.wikimedia.org/wikipedia/fr/thumb/7/79/Football_Angleterre_maillot.png/130px-Football_Angleterre_maillot.png","Angleterre"
"Autriche","http://upload.wikimedia.org/wikipedia/fr/thumb/c/ca/Football_Autriche_maillot.svg/langfr-130px-Football_Autriche_maillot.svg.png","Autriche"
